"Item type","Authors","Editors","Title","Journal","Journal (full title)","Book title","Website name","Proceedings title","Source","How published","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Institution","Number","Publisher","Publisher place","Conference","Conference location","Conference date","Date published","Date","Date accessed","ISBN","ISBN (alt.)","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Associated DOI","Abstract","Keywords","Notes","Copyright","Affiliation","Language","Subtype","Series","Series number","Archive prefix","Eprint ID","Primary class","Page count","University","Department","Collection","Inventors","Assignee","Issuing authority","Patent number","Date filed","Type of patent","Issuing office full name","Application number","Presenter","Attachments","University place","Level of thesis","Series Number","Library catalog/database"
"Preprint","Xia P,Zeng K,Liu J,Qin C,Wu F,Zhou Y,Xiong C,Yao H","","Agent0: Unleashing self-evolving agents from zero data via tool-integrated reasoning","","","","","","arXiv [cs.LG]","","2025","","","","All","","","","","","","","","2025-11-20","","","","","","","http://dx.doi.org/10.48550/arXiv.2511.16043;http://arxiv.org/abs/2511.16043","10.48550/arXiv.2511.16043","","2511.16043","","Large Language Model (LLM) Agents, often trained with Reinforcement Learning (RL), are constrained by a dependency on human-curated data, limiting scalability and tethering AI to human knowledge. Existing self-evolution frameworks offer an alternative but are typically restricted by the model's inherent capabilities and single-round interactions, hindering the development of complex curricula involving tool use or dynamic reasoning. We introduce Agent0, a fully autonomous framework that evolves high-performing agents without external data through multi-step co-evolution and seamless tool integration. Agent0 establishes a symbiotic competition between two agents initialized from the same base LLM: a curriculum agent that proposes increasingly challenging frontier tasks, and an executor agent that learns to solve them. We integrate external tools to enhance the executor's problem-solving capacity; this improvement, in turn, pressures the curriculum agent to construct more complex, tool-aware tasks. Through this iterative process, Agent0 establishes a self-reinforcing cycle that continuously produces high-quality curricula. Empirically, Agent0 substantially boosts reasoning capabilities, improving the Qwen3-8B-Base model by 18% on mathematical reasoning and 24% on general reasoning benchmarks. Code is available at https://github.com/aiming-lab/Agent0.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2511.16043","cs.LG","","","","","","","","","","","","","","All Papers/X/Xia et al. 2025 - Agent0 - Unleashing self-evolving agents from zero data via tool-integrated reasoning.pdf","","","",""
"Preprint","Sarkar S","","AI agents, productivity, and higher-order thinking: Early evidence from software development","","","","","","","","2025","","","","All","","","","","","","","","2025","","","","","","","http://dx.doi.org/10.2139/ssrn.5713646","10.2139/ssrn.5713646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Preprint","Liao CC,Liao D,Gadiraju SS","","AgentMaster: A multi-agent conversational framework using A2A and MCP protocols for multimodal information retrieval and analysis","","","","","","arXiv [cs.IR]","","2025","","","","All","","","","","","","","","2025-09-19","","","","","","","http://arxiv.org/abs/2507.21105","","","2507.21105","","The rise of Multi-Agent Systems (MAS) in Artificial Intelligence (AI), especially integrated with Large Language Models (LLMs), has greatly facilitated the resolution of complex tasks. However, current systems are still facing challenges of inter-agent communication, coordination, and interaction with heterogeneous tools and resources. Most recently, the Model Context Protocol (MCP) by Anthropic and Agent-to-Agent (A2A) communication protocol by Google have been introduced, and to the best of our knowledge, very few applications exist where both protocols are employed within a single MAS framework. We present a pilot study of AgentMaster, a novel modular multi-protocol MAS framework with self-implemented A2A and MCP, enabling dynamic coordination, flexible communication, and rapid development with faster iteration. Through a unified conversational interface, the system supports natural language interaction without prior technical expertise and responds to multimodal queries for tasks including information retrieval, question answering, and image analysis. The experiments are validated through both human evaluation and quantitative metrics, including BERTScore F1 (96.3%) and LLM-as-a-Judge G-Eval (87.1%). These results demonstrate robust automated inter-agent coordination, query decomposition, task allocation, dynamic routing, and domain-specific relevant responses. Overall, our proposed framework contributes to the potential capabilities of domain-specific, cooperative, and scalable conversational AI powered by MAS.","","","http://creativecommons.org/licenses/by/4.0/","","","","","","arXiv","2507.21105","cs.IR","","","","","","","","","","","","","","All Papers/L/Liao et al. 2025 - AgentMaster - A multi-agent conversational framework ... A and MCP protocols for multimodal information retrieval and analysis.pdf","","","",""
"Website","","","","","","","","","","","","","","","All","","","","","","","","","","","2025-10-15","","","","","https://scholar.google.com/scholar?cites=9546718639074168570&as_sdt=2005&sciodt=0,5&hl=en#d=gs_qabs&t=1760494616785&u=#p=Y7QOjqbFEHMJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Preprint","Lemos F,Alves V,Ferraz F","","Is it time to treat prompts as code? A multi-use case study for prompt optimization using DSPy","","","","","","arXiv [cs.SE]","","2025","","","","All","","","","","","","","","2025-07-04","","","","","","","http://arxiv.org/abs/2507.03620","","","2507.03620","","Although prompt engineering is central to unlocking the full potential of Large Language Models (LLMs), crafting effective prompts remains a time-consuming trial-and-error process that relies on human intuition. This study investigates Declarative Self-improving Python (DSPy), an optimization framework that programmatically creates and refines prompts, applied to five use cases: guardrail enforcement, hallucination detection in code, code generation, routing agents, and prompt evaluation. Each use case explores how prompt optimization via DSPy influences performance. While some cases demonstrated modest improvements - such as minor gains in the guardrails use case and selective enhancements in hallucination detection - others showed notable benefits. The prompt evaluation criterion task demonstrated a substantial performance increase, rising accuracy from 46.2% to 64.0%. In the router agent case, the possibility of improving a poorly performing prompt and of a smaller model matching a stronger one through optimized prompting was explored. Although prompt refinement increased accuracy from 85.0% to 90.0%, using the optimized prompt with a cheaper model did not improve performance. Overall, this study's findings suggest that DSPy's systematic prompt optimization can enhance LLM performance, particularly when instruction tuning and example selection are optimized together. However, the impact varies by task, highlighting the importance of evaluating specific use cases in prompt optimization research.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2507.03620","cs.SE","","","","","","","","","","","","","","All Papers/L/Lemos et al. 2025 - Is it time to treat prompts as code - A multi-use case study for prompt optimization using DSPy.pdf","","","",""
"Preprint","Singhvi A,Shetty M,Tan S,Potts C,Sen K,Zaharia M,Khattab O","","DSPy Assertions: Computational constraints for self-refining language model pipelines","","","","","","arXiv [cs.CL]","","2023","","","","All","","","","","","","","","2023-12-20","","","","","","","http://arxiv.org/abs/2312.13382","","","2312.13382","","Chaining language model (LM) calls as composable modules is fueling a new powerful way of programming. However, ensuring that LMs adhere to important constraints remains a key challenge, one often addressed with heuristic ""prompt engineering"". We introduce LM Assertions, a new programming construct for expressing computational constraints that LMs should satisfy. We integrate our constructs into the recent DSPy programming model for LMs, and present new strategies that allow DSPy to compile programs with arbitrary LM Assertions into systems that are more reliable and more accurate. In DSPy, LM Assertions can be integrated at compile time, via automatic prompt optimization, and/or at inference time, via automatic selfrefinement and backtracking. We report on two early case studies for complex question answering (QA), in which the LM program must iteratively retrieve information in multiple hops and synthesize a long-form answer with citations. We find that LM Assertions improve not only compliance with imposed rules and guidelines but also enhance downstream task performance, delivering intrinsic and extrinsic gains up to 35.7% and 13.3%, respectively. Our reference implementation of LM Assertions is integrated into DSPy at https://github.com/stanfordnlp/dspy","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2312.13382","cs.CL","","","","","","","","","","","","","","All Papers/S/Singhvi et al. 2023 - DSPy Assertions - Computational constraints for self-refining language model pipelines.pdf","","","",""
"Preprint","Khattab O,Singhvi A,Maheshwari P,Zhang Z,Santhanam K,Vardhamanan S,Haq S,Sharma A,Joshi TT,Moazam H,Miller H,Zaharia M,Potts C","","DSPy: Compiling declarative language model calls into self-improving pipelines","","","","","","arXiv [cs.CL]","","2023","","","","All","","","","","","","","","2023-10-05","","","","","","","http://arxiv.org/abs/2310.03714","","","2310.03714","","The ML community is rapidly exploring techniques for prompting language models (LMs) and for stacking them into pipelines that solve complex tasks. Unfortunately, existing LM pipelines are typically implemented using hard-coded ""prompt templates"", i.e. lengthy strings discovered via trial and error. Toward a more systematic approach for developing and optimizing LM pipelines, we introduce DSPy, a programming model that abstracts LM pipelines as text transformation graphs, i.e. imperative computational graphs where LMs are invoked through declarative modules. DSPy modules are parameterized, meaning they can learn (by creating and collecting demonstrations) how to apply compositions of prompting, finetuning, augmentation, and reasoning techniques. We design a compiler that will optimize any DSPy pipeline to maximize a given metric. We conduct two case studies, showing that succinct DSPy programs can express and optimize sophisticated LM pipelines that reason about math word problems, tackle multi-hop retrieval, answer complex questions, and control agent loops. Within minutes of compiling, a few lines of DSPy allow GPT-3.5 and llama2-13b-chat to self-bootstrap pipelines that outperform standard few-shot prompting (generally by over 25% and 65%, respectively) and pipelines with expert-created demonstrations (by up to 5-46% and 16-40%, respectively). On top of that, DSPy programs compiled to open and relatively small LMs like 770M-parameter T5 and llama2-13b-chat are competitive with approaches that rely on expert-written prompt chains for proprietary GPT-3.5. DSPy is available at https://github.com/stanfordnlp/dspy","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2310.03714","cs.CL","","","","","","","","","","","","","","All Papers/K/Khattab et al. 2023 - DSPy - Compiling declarative language model calls into self-improving pipelines.pdf","","","",""
"Website","Corporation EMC","","EMC Data Domain Global Deduplication Array","","","","","","","","2012","","","","All","","","","","","","","","2012","","","","","","","https://www.delltechnologies.com/asset/en-us/products/storage/industry-market/h11731-wp-data-domain-global-dedupe-array.pdf","","","","","","","Aggregate ingest into tens of TB/h across multiple controllers","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Website","Commvault,Storage P","","Modernize Data Protection with Commvault and Pure Storage FlashBlade","","","","","","","","2023","","","","All","","","","","","","","","2023","","","","","","","https://learn.purestorage.com/asset/887dce5a-7c3f-11ee-9ae5-0675c7f6b47a/Commvault_Pure_FlashBlade_Solution.pdf","","","","","","","Reference architecture showing multi-GB/s backup/restore; up to 270 TB/h in large configs","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Website","America K","","KIOXIA CM6 Series Enterprise NVMe SSDs","","","","","","","","2020","","","","p-scailbib;All","","","","","","","","","2020","","","","","","","https://www.businesswire.com/news/home/20200305005148/en/KIOXIA-America-Announces-PCIe-4.0-NVMe-SSDs","","","","","","","Sequential reads up to 6.9 GB/s","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Website","Systems C","","Cisco UCS C220 M5 Rack Server Disk I/O Characterization","","","","","","","","2018","","","","p-scailbib;All","","","","","","","","","2018","","","","","","","https://www.cisco.com/c/en/us/solutions/collateral/data-center-virtualization/unified-computing/whitepaper-c11-741592.html","","","","","","","Sequential 100% read/write up to $\sim$2400 MB/s for 10 HDD JBOD; SSD RAID up to $\sim$7000 MB/s","","","","","","","","","","","","","","","","","","","","","","","","","","",""
