file_name,title,venue,year,tags
Xia et al. 2025 - Agent0 - Unleashing self-evolving agents from zero data via tool-integrated reasoning.pdf,Agent0: Unleashing self-evolving agents from zero data via tool-integrated reasoning,arXiv [cs.LG],2025,
Liao et al. 2025 - AgentMaster - A multi-agent conversational framework ... A and MCP protocols for multimodal information retrieval and analysis.pdf,AgentMaster: A multi-agent conversational framework using A2A and MCP protocols for multimodal information retrieval and analysis,arXiv [cs.IR],2025,
Lemos et al. 2025 - Is it time to treat prompts as code - A multi-use case study for prompt optimization using DSPy.pdf,Is it time to treat prompts as code? A multi-use case study for prompt optimization using DSPy,arXiv [cs.SE],2025,
Singhvi et al. 2023 - DSPy Assertions - Computational constraints for self-refining language model pipelines.pdf,DSPy Assertions: Computational constraints for self-refining language model pipelines,arXiv [cs.CL],2023,
Khattab et al. 2023 - DSPy - Compiling declarative language model calls into self-improving pipelines.pdf,DSPy: Compiling declarative language model calls into self-improving pipelines,arXiv [cs.CL],2023,
Tang et al. 2025 - AutoAgent - A Fully-Automated and zero-code framework for LLM agents.pdf,AutoAgent: A Fully-Automated and zero-code framework for LLM agents,arXiv [cs.AI],2025,Agentic
Levi and Kadar 2025 - IntellAgent - A multi-agent framework for evaluating conversational AI systems.pdf,IntellAgent: A multi-agent framework for evaluating conversational AI systems,arXiv [cs.CL],2025,Agentic
Ackerman 2025 - Perceptions of Agentic AI in Organizations - Implications for Responsible AI and ROI.pdf,Perceptions of Agentic AI in Organizations: Implications for Responsible AI and ROI,arXiv [cs.CY],2025,Agentic
Wei et al. 2025 - BrowseComp - A simple yet challenging benchmark for browsing agents.pdf,BrowseComp: A simple yet challenging benchmark for browsing agents,arXiv [cs.CL],2025,Agentic
Klein et al. 2024 - Fleet of agents - Coordinated problem solving with large language models.pdf,Fleet of agents: Coordinated problem solving with large language models,arXiv [cs.CL],2024,Agentic
Feng et al. 2024 - Cocoa - Co-planning and co-execution with AI agents.pdf,Cocoa: Co-planning and co-execution with AI agents,arXiv [cs.HC],2024,Agentic
Salama et al. 2025 - MemInsight - Autonomous Memory Augmentation for LLM Agents.pdf,MemInsight: Autonomous Memory Augmentation for LLM Agents,arXiv [cs.CL],2025,Agentic
Cemri et al. 2025 - Why Do Multi-Agent LLM Systems Fail.pdf,Why Do Multi-Agent LLM Systems Fail?,arXiv [cs.AI],2025,Agentic
Tur et al. 2025 - SafeArena - Evaluating the safety of autonomous web agents.pdf,SafeArena: Evaluating the safety of autonomous web agents,arXiv [cs.LG],2025,Agentic
Zhang et al. 2025 - API Agents vs. GUI Agents - Divergence and Convergence.pdf,API Agents vs. GUI Agents: Divergence and Convergence,arXiv [cs.AI],2025,Agentic
Bousetouane 2025 - Agentic systems - A guide to transforming industries with vertical AI agents.pdf,Agentic systems: A guide to transforming industries with vertical AI agents,arXiv [cs.MA],2025,
Belcak et al. 2025 - Small Language Models are the Future of Agentic AI.pdf,Small Language Models are the Future of Agentic AI,arXiv [cs.AI],2025,
Ghemawat et al. 2003 - The Google file system.pdf,The Google file system,Symp Oper Syst Princ,2003,
Dayalan 2008 - MapReduce - simplified data processing on large clusters.pdf,MapReduce: simplified data processing on large clusters,Commun. ACM,2008,
